File Name,Pixel Count,Pixel Ratio
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263436.JPG,103741,0.037522063078703705
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263437.JPG,60264,0.021796875
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263438.JPG,74931,0.02710177951388889
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263439.JPG,77897,0.02817455150462963
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263440.JPG,110193,0.03985568576388889
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263441.JPG,65979,0.023863932291666667
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263442.JPG,69397,0.025100188078703702
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263443.JPG,79446,0.028734809027777777
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263444.JPG,117266,0.042413917824074075
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263445.JPG,180504,0.06528645833333334
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263446.JPG,96531,0.03491427951388889
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263447.JPG,41709,0.015085720486111112
/home/yori/.original/workdesk/nmelanoleuca/testfig/LC263448.JPG,50699,0.018337311921296295
/home/yori/.original/workdesk/nmelanoleuca/testfig/test.jpg,96899,0.03504738136574074
